"Medium","Dimensions","Classification","Artist","URL","ArtistNationality","Title","CreditLine","DateAcquired","Department","HasExtraText","MoMANumber","Date","ArtistBio","CuratorApproved","ObjectID","ExtraText","AlchemyConcepts"
"Molded mycelium","4 x 17 x 7"" (10.2 x 43.2 x 17.8 cm)","A&D Design","The Living","http://www.moma.org/collection/works/188561","","Mycellium Brick","Gift of the architects","3/2/2015","Architecture & Design","Y","102.2015","2014","","Y","188561","The Living's organic bricks are produced by combining corn stalks (left over after corn processing) and specially developed living root structures called mycelium, derived from mushrooms. These base components, pioneered by the biomaterial company Ecovative, are placed together in molds and allowed to biologically cement through fungal growth. When used as building blocks, the resulting mycelium bricks create a structure that temporarily diverts the natural carbon cycle to produce architecture that grows out of nothing but earth and returns to nothing but earth—with no waste, no energy, and no carbon emissions. This “low-tech biotech” approach offers a new vision for our society's approach to physical objects and the built environment through living structures that respond to current crises of material sustainability.","Fungus (0.951627), Natural environment (0.750227), Mushroom (0.723572), Mycelium (0.652413), Biology (0.605516), Carbon dioxide (0.594573), Yeast (0.580473), Carbon cycle (0.563142)"
"ABS plastic, rubber, and electronic components","1 3/4 x 5 3/16 x 2 13/16"" (4.5 x 13.2 x 7.2 cm)","A&D Design","Reginald Orton, Erik Hersman, Philip Walton","http://www.moma.org/collection/works/188036","NEW","BRCK 3G WiFi Router","Gift of the manufacturer","3/2/2015","Architecture & Design","Y","104.2015","2013","(New Zealander, born 1981) (American, born 1975) (American, born 1974)","Y","188036","Ushahidi means “testimony” in Swahili, a reference to the nonprofit's origins in Kenya where, during the 2008 elections, the company developed a crowd- sourced mapping platform to alert citizens to protests, violence, and election results in real time. Unreliable connectivity in the region, however, limited data flow. In response, Ushahidi went on to develop the BRCK, a robust, portable hub designed to create Internet networks in places where there is little or no basic infrastructure, or during power outages. BRCK works by tethering to whichever networks are available—Ethernet, WiFi, or telecommunications systems via its SIM card—and can switch between them as necessary without disrupting user service.Tim Berners-Lee proclaimed in 2012 that the digital age “is for everyone,” and yet current statistics show that around sixty percent of the global population has no access to the Internet, one of the most basic digital communication tools of our time. Of those who do have Internet access, approximately seventy-five percent are concentrated in just twenty countries.","Internet (0.978623), World Wide Web (0.680324), Media technology (0.620654), Telecommunications (0.547522), Laptop (0.531393), United Kingdom (0.458557), Internet access (0.444928), Wi-Fi (0.444573)"
"Copal resin, natural shellac, wood fibers","13 3/4 x 6 5/16"" (35 x 16 cm)","A&D Design","Formafantasma, Andrea Trimarchi, Simone Farresin","http://www.moma.org/collection/works/187897","EST","Botanica I","Committee on Architecture and Design Funds","3/2/2015","Architecture & Design","Y","97.2015.1","2011","(est. 2009) (Italian, born 1980) (Italian, born 1983)","Y","187897","The Botanica series, commissioned by PLART—an Italian foundation devoted to research on plastics (and resins—investigates the prehistory of synthetic polymers, focusing on the age of inquiry and experimentation that preceded our current era of oil dependency. During the eighteenth and nineteenth centuries, natural polymers were extracted from plants and animal derivatives using new scientific approaches. The works in this series incorporate some of the earliest polymers known, such as rosin, dammar, copal (a sub-fossil state of amber), natural rubber, shellac (a polymer extracted from insect excrement), and bois durci (a nineteenth-century material composed of wood dust, pigment, and animal blood). Botanica is thus an archaeological record of radical scientific discovery that again has revolutionary potential as humankind searches for alternative materials and methods of production in the wake of global warming and environmental distress.","Polymer (0.954194), Science (0.757464), Archaeology (0.476212), Plastic (0.473651), Natural rubber (0.470903), Natural environment (0.451302), Synthetic rubber (0.441176), Resin (0.423995)"
"Photolithographically etched and replica molded silicone rubber","Each: 1/2 x 1 1/2 x 3/4"" (1.3 x 3.8 x 1.9 cm)","A&D Design","Wyss Institute for Biologically Inspired Engineering at Harvard University, Donald Elliot Ingber, Dan Dongeun Huh, Boston Children's Hospital","http://www.moma.org/collection/works/188322","AMERICAN","Human Organs-on-Chips","Gift of the Wyss Institute for Biologically Inspired Engineering at Harvard University","3/2/2015","Architecture & Design","Y","106.2015.1-3","2008","(American, born 1956) (American, born Korea, 1975)","Y","188322","The Wyss Institute at Harvard University has developed ten different types of “organs-on-chips,” a still experimental technology designed to replace often expensive and ethically fraught human or animal testing in the pharmaceutical and medical industries. The chips—including the kidney-on-a- chip and the gut-on-a-chip—simulate human organ mechanical and biochemical functions, and can be used singly or in combinations to test the effects of new drug treatments on human physiology. For example, the lung-on-a-chip, a clear, flexible polymer lined with bioengineered human airway and capillary cells, is both better at predicting outcomes and less expensive than animal testing, as demonstrated in the Pharmaceutical Journal. Removing some of the pitfalls associated with human and animal testing means, theoretically, that drug trials could be conducted faster and their viable results disseminated more quickly.","Biology (0.97815), Human anatomy (0.897814), Organ (0.835855), Pharmacology (0.738927), Anatomy (0.685011), Organelle (0.647358), Animal (0.618914), Heart (0.611765)"
"Digital image file","","A&D Graphic Design","Alex Roberts, Creative Commons","http://www.moma.org/collection/works/188565","BRITISH","Creative Commons Attribution Symbol","Gift of Creative Commons","3/2/2015","Architecture & Design","Y","143.2015","2006","(British, born 1983)","Y","188565","Established in 2001 by academics and activists Lawrence Lessig, Hal Abelson, and Eric Eldred with the support of the Center for the Study of the Public Domain, Creative Commons publishes licenses that allow creators to retain copyright and proper attribution for their work while enabling others to share and make use of it. The standardized Creative Commons logo, designed by artist, animator, and filmmaker Ryan Junell, consists of the characters cc enclosed in a circle—the second c bringing a deliberately new meaning to the traditional copyright icon ©. Junell's clear system includes additional symbols that indicate the terms granted by the copyright holder, such as the requirement for attribution, or to restrict the use to noncommercial purposes. In 2006, Creative Commons designer Alex Roberts reconceived the “attribution” icon (originally) as the stick figure we know and use today. The Creative Commons symbol allows those who create any type of content online—be it photographs, text, sound, or something different—to think beyond the default position of “all rights reserved.”","Creative Commons (0.961037), Copyright (0.884275), Lawrence Lessig (0.684941), Copyleft (0.586797), Public domain (0.581074), Hal Abelson (0.464842), Creative Commons International (0.414978), Eldred v. Ashcroft (0.386112)"
"digital file","","A&D Graphic Design","International Electrotechnical Commission (IEC)","http://www.moma.org/collection/works/188563","SWITZERLAND","Power symbol","","3/2/2015","Architecture & Design","Y","138.2015","2002","(Switzerland, est. 1906)","Y","188563","The earliest binary switches were marked with an (I and an O to denote, respectively, a closed electrical circuit (device on) and an open circuit (device off).(In 1973, these two symbols were combined into one now-familiar icon, the official definition of which was, initially, “standby setting.” Thirty years later, an international committee of scientists and engineers undertook a three-year research project, ultimately recommending in 2002 that this combined symbol should henceforth denote its more commonly accepted understanding: “power.”","Semiotics (0.919309), Symbol (0.816717), Icon (0.748601), Electrical engineering (0.690598), Philosophy of language (0.633455), Secular icon (0.631336), Denotation (0.631085), Meaning (0.611289)"
"Lithograph","12 3/8 x 12 3/8"" (31.4 x 31.4 cm)","A&D Graphic Design","Peter Saville, Martyn Atkins, Bernard Pierre Wolff","http://www.moma.org/collection/works/189342","BRITISH","Album cover for Joy Division, Closer","Committee on Architecture and Design Funds","3/2/2015","Architecture & Design","Y","194.2015","1980","(British, born 1955) (British, born 1959) (American, born France. 1930–1985)","Y","189342","When the group Joy Division was working with Saville on this design and asked him what he had in his studio, ""out came Pierre Wolff, and images of tombs,"" as he would later recall, ""because I think they look trendy."" With hindsight this choice seems to have been aligned with lead singer Ian Curtis's suicidal depression. Saville was interested in creating a frisson from wrapping a neoclassical style of typography and subject matter ""around a twentieth-century piece of vinyl, on which is the sound and language of 1980. The graphics are purely historical, but the totality is a modern mix.""","Ian Curtis (0.958558), Joy Division (0.866169), Graphic design (0.851327), Psychology (0.789961), New Order (0.599716)"
"Two-channel video (color, sound; 16:15 min.), four speakers, four speaker stands, aluminum benches, light, carpet, and acoustic sound paneling","Dimensions variable","Installation","James Richards","http://www.moma.org/collection/works/184653","BRITISH","Not Blacking Out, Just Turning the Lights Off","Fund for the Twenty-First Century","10/8/2014","Media and Performance Art","Y","894.2014","2011","(British, born 1983)","Y","184653","James Richards's moving-image works are collaged from a wide range of source material, often eschewing fixed form in favor of remix and improvisation. His works carve out a space for poetics amid the relentless flow of electronic data and images that have defined the twenty-first century.This work is comprised of rhythmic assemblages of sounds and images extracted from various sources, including the Internet and DVDs, as well as diaristic material gathered by the artist and his friends. Various light distortions created with a small portable video camera add further texture to the work. Tapping into seamless image streams proliferated by the mass media, the work teeters between the sensual realm and something more anxious and violent, pointing toward the experience of existing in a constant, at times oppressive, dialogue with technology. Projected on opposing screens, the work switches from one screen to the other, requiring the audience to physically reposition themselves and unsettling conventions of more passive viewing.","Music (0.91121), Optics (0.669139), Image (0.630583), Force (0.630094), Camera (0.60519), English-language films (0.592676), Thermodynamics (0.592337), Energy (0.591561)"
"Wood, metal, and plastic","38 x 12 3/4 x 1 3/4"" (96.5 x 32.4 x 4.4 cm)","A&D Design","Leo Fender, George Fullerton, Freddie Tavares","http://www.moma.org/collection/works/186053","AMERICAN","Fender Stratocaster Electric Guitar","Committee on Architecture and Design Funds","10/6/2014","Architecture & Design","Y","753.2014","designed 1954, this example 1957","(American, 1909–1991) (American, 1923–2009) (American, 1913–1990)","Y","186053","The Stratocaster, Fender's flagship electric guitar,was designed ""to become part of the player"" with an ergonomic ""comfort-contoured"" body, a recessed jack to keep amplifier cables out of the way, volume and tone knobs positioned for easy adjustment while playing, and deep double cutouts for better neck access. Its original technical features included three pickups for a bright, glassy sound and a Fender-patented tremolo arm (""whammy bar""). The Stratocaster's user-friendly design and unique sound set an iconic new standard for electric guitar design and performance.","Electric guitar (0.967169), Vibrato (0.557695), Guitar (0.551802), Tremolo arm (0.541949), Tremolo (0.527882), Fender Jaguar (0.460424), Fender Musical Instruments Corporation (0.448195), Heavy metal music (0.427738)"
"Electronic components","8 3/4 x 8 3/4 x 3 1/4"" (22.2 x 22.2 x 8.3 cm)","A&D Design","Jay Silver, Eric Rosenbaum","http://www.moma.org/collection/works/187574","AMERICAN","MaKey MaKey","Gift of JoyLabz","10/6/2014","Architecture & Design","Y","763.2014.2","2012-2014","(American, born 1979) (American, born 1979)","Y","187574","Makey Makey is based on research undertaken by Silver and Rosenbaum at the Massachusetts Institute of Technology's Lifelong Kindergarten Group while they were PhD students at MIT's Media Lab. The project—billed as “a 21st century invention kit for everyone”—was originally supported through the crowd-funding website Kickstarter. The accompanying video offers a window into the myriad possible applications of this design toolbox of microcontroller, alligator clips, USB cables, and connector wires. Based in part on Arduino technology—also featured in this exhibition—the Makey Makey allows designers of all backgrounds and levels of expertise to connect the Internet to objects that conduct electricity. Bananas can function as piano keys, paint as a game console, or a cat as a camera auto-shutter.","21st century (0.930255), Massachusetts Institute of Technology (0.920087), Piano (0.889461), Video game console (0.794472), MIT Media Lab (0.780661), Cat (0.780555), Music (0.735707), Internet (0.718955)"
"Electronic components","2 1/16 x 2 11/16"" (5.3 x 6.9 cm)","A&D Design","Massimo Banzi, David Cuartielles, Tom Igoe, Gianluca Martino, David Mellis, Arduino SA","http://www.moma.org/collection/works/185965","ITALIAN","Arduino ""Diecimila"" Microcontroller","Gift of the designers","10/6/2014","Architecture & Design","Y","751.2014","2004-2005","(Italian, born 1968) (Spanish, born 1974) (American, born 1967) (Italian, born 1973) (American, born 1980)","Y","185965","A tiny but powerful microcontroller, Arduino is an open-source, programmable microchip housed on (a circuit board, and a platform for some of the most compelling interdisciplinary design collaborations between science and the humanities happening today. It can be programmed to drive components such as sensors, LEDs, and motors in order to build and develop all kinds of interactive objects. Arduino allows artists, designers, and active maker-culture enthusiasts, as well as children and amateurs, to engage with processes and final products that are usually the domain of electronic engineers. This new building block of design has resulted in applications as diverse as light sculptures, digital pollution detectors, and tools to help people who are unable to use common interfaces such as a computer mouse.","Electronic engineering (0.945629), Personal computer (0.793935), Computer program (0.762756), Electronics (0.669535), Electrical engineering (0.632337), Unix (0.622237), Integrated circuit (0.603636), Computer (0.592842)"
"Circuit board, electronic components, LED screen, open-source software library","assembled kit: 4 1/2 x 2 3/4 x 2 1/4"" (11.4 x 7 x 5.7 cm)
box: 5 7/8 x 8 x 2 1/4"" (14.9 x 20.3 x 5.7 cm)","A&D Design","Technology Will Save Us","http://www.moma.org/collection/works/184278","EST","DIY Gamer Kit","Gift of the designers","10/6/2014","Architecture & Design","Y","770.2014.1-2","2013","(est. 2012)","Y","184278","The DIY Gamer Kit allows users to build their own handheld gaming console and either code their own game or download games from an online library. Technology Will Save Us produces several DIY kits focused on topics such as music, play, gardening, and cycling, inserting skills like coding and soldering into enjoyable daily activities. These objects reflect the deep and central role technology and interface design now play in our everyday lives, and the new importance of “maker culture”—technology-oriented, often grassroots, craft initiatives—in the design landscape.","Nintendo Entertainment System (0.927397), Game (0.807655)"
"Printed circuit board with electronic components","4 1/2 x 2 15/16 x 3/8"" (11.5 x 7.5 x 1 cm)","A&D Design","Yuri Suzuki, Mark McKeague, Joseph Pleass, Naomi Elliott","http://www.moma.org/collection/works/184740","JAPANESE","Ototo","Gift of the designers","10/6/2014","Architecture & Design","Y","768.2014","2013","(Japanese, born 1980) (Irish, born 1989) (British, born 1990) (British, born 1987)","Y","184740","Ototo is an experimental synthesizer that enables any object to become a musical instrument through capacitive sensing. Capacitance (measured in farads, after the nineteenth-century English physicist Michael Faraday) is the potential for a body or object to store an electrical charge. The Ototo measures the latent capacitance of objects it is connected to, and when these objects are touched the energy in the player's body is joined with that in the object to produce a note. Designer Yuri Suzuki is also responsible for the Colour Chaser, a miniature robotic vehicle that follows a circuit drawn with a black marker and translates color data drawn on top of it into sound. Suzuki has described how his own dyslexia spurred him to reinterpret the processes of composing, reading, and playing music.","Electromagnetism (0.975171), Electricity (0.972258), Musical instrument (0.925621), Farad (0.893687), Capacitor (0.849401), Sound (0.7764), Michael Faraday (0.767886), Capacitance (0.754438)"
"Laser-sintered nylon","44 x 37 x 2"" (111.8 x 94 x 5.1 cm) irreg.","A&D Design","Jessica Rosenkrantz, Jesse Louis-Rosenberg","http://www.moma.org/collection/works/185294","AMERICAN","Kinematics Dress","Gift of the Committee on Architecture and Design Funds and Shapeways","10/6/2014","Architecture & Design","Y","759.2014.1","2013","(American, born 1983) (American, born 1986)","Y","185294","Working at the intersection of math, science, and technology, designers Jessica Rosenkrantz and Jesse Louis-Rosenberg study patterns inherent to organic forms, using them as blueprints for man- made printed materials. Kinematics is a branch of classical mechanics that investigates the motion of points and objects, a term adopted by the designers for their 4-D printing system. The dress consists of over three thousand unique parts that have been combined into one complete, complex assemblage in a 3-D printer.To produce the dress, the client's body is imaged through a 3-D scan, onto which the garment surface is then digitally tessellated into triangular shapes that hinge together (the smaller the triangles, the more flexible and likely to drape the fabric will be). The tessellation is compressed to fit the volume of (the 3-D printer and the form is generated using a selective laser sinter process that binds nylon powder into concrete forms. This method allows garments to be customized based on clients' individual body shapes and aesthetic desires.","Classical mechanics (0.959356), Printing (0.812682), Inkjet printer (0.680281), Selective laser sintering (0.649646), Mechanics (0.642136), Physics (0.602808), Paper (0.582845), Aristotle (0.521645)"
"Objet Connex500 multi-material 3D bitmap printer, colored digital powders & materials","7 1/2 x 10 x 11"" (19.1 x 25.4 x 27.9 cm)","A&D Design","Neri Oxman, Mediated Matter Group, W. Craig Carter, Joe Hicklin, Turlif Vilbrandt","http://www.moma.org/collection/works/184408","AMERICAN","Imaginary Beings (Minotaur Head with Lamella)","Gift of Stratasys","10/6/2014","Architecture & Design","Y","760.2014.6","2012","(American, born Israel, 1976) (est. 2010) (American, born 1961) (American, born 1959) (American, born 1968)","Y","184408","Oxman's series takes its title from Jorge Luis Borges's Book of Imaginary Beings (1957), a miscellany of over one hundred fantastical beasts from folklore and literature. Borges's creatures exist on the cusp of the natural and the mythical. Oxman's beings similarly augment, fuse, and adapt nature, exploring future possibilities for human biology and experience—an area of design practice that Oxman has termed “material ecology.”The Imaginary Beings series explores the functions of the human body—skeletal, pulmonary, muscular— offering a conceptual proposition for how natural tissues and biological processes might be developed or replicated digitally in the future. In Oxman's vision, biology enhanced by technology might allow humans to gain abilities possessed by Borges's imaginary beings, such as flight or underwater breathing. Although this series deals with the human body, these works connect to Oxman's wider practice, which seeks to strengthen the relationship between man-made and natural environments through digital design principles.","Natural environment (0.962183), Jorge Luis Borges (0.913843), Species (0.615321), Nobel Prize in Literature (0.610967), Human body (0.603267), Natural selection (0.601526), Buenos Aires (0.596293), The Garden of Forking Paths (0.561738)"
"Screenprint with foil","30 x 20"" (76.2 x 50.8 cm)","A&D Graphic Design","Martin Sharp","http://www.moma.org/collection/works/184343","AUSTRALIAN","Blowin' in the Mind, Mister Tambourine Man","Committee on Architecture and Design Funds","10/6/2014","Architecture & Design","Y","841.2014","1967","(Australian, 1942–2013, active England 1965–74)","Y","184343","The poster's title references both Bob Dylan's version of the folk-song ""Blowin' in the Wind"" and the electro-psychedelic explosion of ""Mister Tambourine Man"" that followed. The photograph of Dylan that forms the main image was enlarged from a small photo in a book. Sharp then applied a dense decorative overlay inspired by motifs in art by Leonardo da Vinci and Aubrey Beardsley. ""I can remember my dear friend Eija Vehka Aho creating all the beautiful circles that make up Bob Dylan's hair and which contribute so much to the work,"" Sharp later recalled. Over 100,000 copies were sold for £1 through mail order and Big O outlets around the world between 1967 and 1970.","Leonardo da Vinci (0.96844), Bob Dylan (0.939534), Leonardo da Vinci's personal life (0.724412), Vinci, Italy (0.704702), Italian Renaissance painting (0.666905)"
"Wood, metal, and plastic","24 x 23 x 9 1/2"" (61 x 58.4 x 24.1 cm)","A&D Design","Leo Fender, George Fullerton, Freddie Tavares","http://www.moma.org/collection/works/186054","AMERICAN","Fender Bassman amplifier","Committee on Architecture and Design Funds","10/6/2014","Architecture & Design","Y","754.2014","1959","(American, 1909–1991) (American, 1923–2009) (American, 1913–1990)","Y","186054","Dial-up music services and coin-operated jukeboxes are not 20th-century innovations. In 1894 the Théâtrophone, and its London equivalent the Electrophone, were the first commercial systems to deliver broadcasts of opera and other musical events over a web of aerial and subterranean telephone wires. Chéret's poster depicts a fashionable Parisian, dressed for a night at the Opera, listening to five centimes' worth of live music, in stereo, at one of the Théâtrophone's public booths. Behind her a queue of other customers waiting for a turn recedes into the shadowy distance.","Music (0.962993), Opera (0.709169), Musical ensemble (0.615001), Performing arts (0.578322), Sound (0.560008), Musical instrument (0.506669), London (0.496819), Richard Wagner (0.491338)"
