"ArtistNationality","Medium","Dimensions","Classification","Artist","URL","CuratorApproved","Title","DateAcquired","Date","HasExtraText","Department","MoMANumber","ArtistBio","CreditLine","ObjectID","ExtraText"
"ITALIAN","Goache, watercolor, and graphite with scoring on paper","39 1/4 x 26 3/4"" (99.7 x 67.9 cm)","A&D Architectural Drawing","Gaetano Pesce","http://www.moma.org/collection/works/832","Y","The Period of Great Contaminations: Housing Unit for Two People, project, Axonometric section","2000-10-31","1971","Y","Architecture & Design","1221.2000","(Italian, born 1939)","Gift of The Howard Gilman Foundation","832","This is one of a number of works by Pesce—made for The Museum of Modern Art’s 1972 exhibition Italy: The New Domestic Landscape—that present a third-millennium archeologist’s discovery of an underground southern alpine city from a hundred years earlier. The drawing illustrates an age in which people have settled in various underground pockets, drained of mineral oils and water and sealed off from the outside world by large stones. These “archeological remains” are meant to reflect essential conditions for living, such as “the exploitation of the interior of the planet,” “the importance of space,” “the necessity of isolation,” and “noncommunication as characteristic of human life.” The house is the subject of psychoanalytical and philosophical inquiry that discloses hidden political shades in its direct, if fictional, reflection of life."
"POLISH","Lithograph","32 x 22 1/2"" (81.3 x 57.2 cm)","A&D Graphic Design","Jan Młodożeniec","http://www.moma.org/collection/works/8804","Y","Czekajac na zycie (Poor Cow) (Poster for the 1967 British film directed by Ken Loach)","2000-12-11","1969","Y","Architecture & Design","1506.2000","(Polish, 1929–2000)","Gift of the designer","8804","Thrown into stark relief against a pitch-black ground, this truncated, leggy figure succinctly captures the leading character of Poor Cow—an eighteen-year-old runaway whose life deteriorates into objectification as a faceless prostitute. Her psychedelic minidress references the film's pop soundtrack and signals the widespread awareness in Poland of Western youth culture in the 1960s."
"BRAZILIAN","Thread, synthetic polymer paint, ink, transfer type, and pencil on paper","19 5/8 x 19 1/2"" (49.8 x 49.5 cm)","Drawing","Anna Maria Maiolino","http://www.moma.org/collection/works/82267","Y","Desde A até M (From A to M) From the series ""Mapas Mentais"" (Mental Maps)","2001-10-11","1972-1999","Y","Drawings","2420.2001","(Brazilian, born Italy 1942)","Purchase","82267","Maiolino is concerned with line as a presence in real space. Using sewing thread to mend gaps and create visual connections between her other materials, she questions division and opposition between inside and outside, positive and negative, black and white, and front and back. For her, both sides of a print and drawing are equally important: “I was intrigued by the space at the reverse side of the paper: what is behind it, what is out of sight—the other space of the absent, the latent, the concealed. I began to print both the front and backsides of the paper. Then, through cutting and folding, I was able to discover what was printed on the reverse and to incorporate it in the work together with the void left by the removal of the paper cut from it. Now the print did not only reside in the plane of the sheet, but by adding other dimensions became a graphic object.”"
"AMERICAN","Crayon on paper","35 x 23"" (88.9 x 58.4 cm)","Drawing","Karen Kilimnik","http://www.moma.org/collection/works/88502","Y","Fergie (a quiet life)","2003-10-07","1991","Y","Drawings","243.2003","(American, born 1955)","Fractional and promised gift of David Teiger","88502","Kilimnik, a native of Philadelphia, rose to international attention in the early 1990s with a diverse body of work encompassing drawing, painting, sculpture, and video. Drawing plays a major role in her artistic practice and Fergie (A Quiet Life) is a signature example. With its photo–derived image, text from a gossipy tabloid, and famous subject, this drawing incorporates the central strands of Kilimnik's art, which typically blends sentimentality with irony in a critique of fame and media.Like many of the bygone pictorial styles Kilimnik ironically resurrects, royalty is itself a historical form with an arguably debased present, and the inclusion of the Duchess of York here demonstrates the ways in which Kilimnik generates considered (if biting) correspondences between the subjects of her art and its form. The intentionally flat forms in the drawings (which typically include very little shading) not only refer to the constrained possibilities for handmade art after the age of mechanical reproduction, but also to the vapidity and fleetingness of the fame of their subjects. These themes are reflected too in the ""casually"" handwritten transcription of a gossip-column report that occupies the right-hand side of the sheet. This text, which addresses issues of class and new world / old world tensions, is simultaneously catty and playful while also clearly ironic and critical."
"GERMAN","Chromogenic paper, scratched","23 1/2 x 19 3/8"" (59.7 x 49.2 cm)","Photograph","Marco Breuer","http://www.moma.org/collection/works/90746","Y","Pan (C-279)","2004-05-13","2003","Y","Photography","233.2004","(German, born 1966)","Fund for the Twenty-First Century","90746","Breuer creates works on photographic paper without a camera. Instead of using the paper to register an image, he abrades, burns, punctures, or otherwise manipulates it, accepting as the final work the paper’s chemical and physical responses to these excoriations. To make Pan (C-279) he first exposed and developed the sensitized paper, turning it black. Then he scored it with a sharp blade to get at the minutely differentiated layers of color—cyan, magenta, black, and yellow—in the paper's emulsion. The highlights were achieved by scattering grains of sand beneath the paper at the time of scoring, giving the impression of volume to the flat surface.Breuer's process of breaking down the paper to reveal its physical components offers a rare glimpse into what makes color photography possible. His visually lush and elegantly simple pictures often look more like paintings or drawings than photographs. Built line by line through a process of subtraction, this work recalls Agnes Martin's exquisitely handcrafted painted surfaces and Gerhard Richter's squeegee-scrape paintings. Breuer's experimental aesthetic also belongs to the tradition of cameraless photography (or photogram) that stretches from inventor William Henry Fox Talbot through Man Ray and László Moholy-Nagy to the present."
"AMERICAN","Acrylic","101 1/2 x 72 x 48"" (257.8 x 182.9 x 121.9 cm) Scale 1:200","A&D Architectural Model","United Architects, Ben van Berkel, Caroline Bos, Peter Frankfurt, Mikon van Gastel, Kevin Kennon, Greg Lynn, Farshid Moussavi, Alejandro Zaera-Polo, Jesse Reiser, Nanako Umemoto","http://www.moma.org/collection/works/91587","Y","World Trade Center Proposal Project, New York, New York, Scale model 1:200","2004-10-14","2002","Y","Architecture & Design","492.2004","(American, founded 2002) (Dutch, born 1957) (Dutch, born 1959) (American, born 1958) (Dutch, born 1971) (American, born 1958) (American, born 1964) (Iranian, born 1965) (Spanish, born 1963) (American, born 1958) (Japanese)","Fund for the Twenty-First Century and an anonymous donor","91587","This scheme for five linked towers was designed by a project-specific team of architects for the site of the former World Trade Center towers. The principal elements of each tower are a twenty-foot-square concrete core and two or more column-free volumes of habitable space that wrap around it. The supporting framework is a diagonally braced skin; its flexibility and strength allow the exterior tubes to expand and contract as they wrap around the core, producing the dynamic appearance of the ensemble. Each of the five towers is designed to be a self-supporting structure. Conjoined, they are able to resist tremendous forces through mutual support, and unlike a traditional freestanding vertical tower, they offer multiple routes of escape and firefighting access. A ""sky park"" creates a lofty horizon at the fifty-fifth floor, linking all the towers and bringing public access and social space to the highest common point of the five structures.The project celebrates the tall building as a technical and cultural artifact. The towers soar to an awe-inspiring height and create a remarkable silhouette across the skyline, a symbol of collectivity; their gaps frame views, channel circulation, and create monumental urban spaces, including public space at street level."
"AMERICAN","Building fragments: painted wood, metal, plaster, and glass, three sections","Overall 69"" x 25' 7"" x 10"" (175.3 x 779.8 x 25.4 cm)","Sculpture","Gordon Matta-Clark","http://www.moma.org/collection/works/91762","Y","Bingo","2004-06-08","1974","Y","Painting & Sculpture","309.2004.a-d","(American, 1943–1978)","Nina and Gordon Bunshaft Bequest Fund, Nelson A. Rockefeller Bequest Fund, and the Enid A. Haupt Fund","91762","Matta-Clark cut these fragments from the facade of a house in Niagara Falls, New York, that was about to be demolished by the local housing commission. Working with a small team over the course of ten days, he cut the facade into nine equivalent rectangles then removed each one until only the central rectangle remained, like the central section of a Bingo card. Minutes after they finished the extraction, the house was razed. The artist retained three sections and deposited the remaining five in a nearby sculpture park, where he hoped they would be ""gradually reclaimed by the Niagara River Gorge.""Matta-Clark was raised in New York City, and he had witnessed firsthand the constant demolition of older buildings for the construction of new ones, the result of shifting real estate values. ""Work with abandoned structures,"" he wrote around 1974, ""began with my concern for the life of the city, of which a major side effect is the metabolization of old buildings."" The presence of empty and neglected buildings in urban centers is ""a reminder of the ongoing fallacy of renewal through modernization."""
"SOUTH","One from a portfolio of eight aquatint, drypoint, engraving and etchings","plate: 9 1/16 x 12 3/8"" (23 x 31.4 cm); sheet: 12 13/16 x 16 3/16"" (32.5 x 41.1 cm)","Print","William Kentridge","http://www.moma.org/collection/works/91885","Y","Negotiations Begin from Little Morals","2004-06-02","1991","Y","Prints & Illustrated Books","283.2004.5","(South African, born 1955)","Jacqueline Brody Fund and the Anna Marie and Robert F. Shapiro Fund","91885","Kentridge made the portfolio of prints, titled Little Morals, set in Johannesburg, South Africa's first industrial center, as he started work on his film animations for 9 Drawings for Projection (1989-2003). It chronicles the years leading up to the nation's first nonracial democratic election, in 1994. Individual prints allude to the exploitation of land and the displacement of communities and to key events of 1990 in South Africa, including the release of anti-apartheid activist Nelson Mandela from prison, the lifting of bans on political opposition organizations, and talks between the African National Congress and the government."
"SWISS","Cut-and-pasted printed paper with felt-tip pen, ballpoint pen, and pressure-sensitive tape on paper wrapped in synthetic polymer sheet","20 1/8 x 23 3/8"" (51.1 x 59.4 cm)","Drawing","Thomas Hirschhorn","http://www.moma.org/collection/works/96147","Y","Provide Ruins IV","2005-05-10","2003","Y","Drawings","1865.2005.4","(Swiss, born 1957)","The Judith Rothschild Foundation Contemporary Drawings Collection Gift","96147","In this series Hirschhorn pairs the extreme brutality of war with the world of advertising and commerce. Since the 1980s he has made socially engaged works that confront viewers and implicate them in the creation of meaning, combining images and text from mass culture with everyday materials like cardboard, cellophane, and duct tape in deliberately crude collages. Here he has paired images of war-torn buildings and victims of war with the faces of fashion models, all overlaid with blue ink that appears to stream and seep from the figures like tears or blood. The work's title, Provide Ruins, mimics the names the military and the media bestowed on war operations, such as Desert Shield and Restore Hope."
"SWISS","Cut-and-pasted printed paper with felt-tip pen, ballpoint pen, and pressure-sensitive tape on paper wrapped in synthetic polymer sheet","19 7/8 x 23 3/8"" (50.5 x 59.4 cm)","Drawing","Thomas Hirschhorn","http://www.moma.org/collection/works/96151","Y","Provide Ruins VIII","2005-05-10","2003","Y","Drawings","1865.2005.8","(Swiss, born 1957)","The Judith Rothschild Foundation Contemporary Drawings Collection Gift","96151","In this series Hirschhorn pairs the extreme brutality of war with the world of advertising and commerce. Since the 1980s he has made socially engaged works that confront viewers and implicate them in the creation of meaning, combining images and text from mass culture with everyday materials like cardboard, cellophane, and duct tape in deliberately crude collages. Here he has paired images of war-torn buildings and victims of war with the faces of fashion models, all overlaid with blue ink that appears to stream and seep from the figures like tears or blood. The work's title, Provide Ruins, mimics the names the military and the media bestowed on war operations, such as Desert Shield and Restore Hope."
"AMERICAN","One from a series of 100 screenprints","sheet: 40 x 26 1/2"" (101.6 x 67.3 cm)","Print","Ryan McGinness","http://www.moma.org/collection/works/98053","Y","Untitled from Fabricated Cultural Belief Systems","2005-03-08","2004","Y","Prints & Illustrated Books","207.2005.4","(American, born 1972)","Fund for the Twenty-First Century","98053","Human organs and plant life. Logos and symbols. Fairy tales and everyday scenes. Family crests and coats of arms. These are a few of the disparate subjects that McGinness fragments, alters, and layers to build his dense networks of brightly colored fantastical imagery. Swathed in ornate, curvaceous lines, McGinness's compositions are a postmodern twist on the eighteenth-century Rococo style, characterized by playful opulence and intricate, coiling forms.Though McGinness's work ranges from large-scale paintings, murals, and installations to smaller prints, multiples, and ephemera, screenprinting is fundamental to much of his output, enabling him to recycle imagery from work to work. This screenprint is from a series of one hundred that underscores the artist’s inventive approach to reproduction and replication. Hand-printed by McGinness using the same set of screens in different orientations and in varying colors, the series reads as a seemingly endless succession of multiplicity and meanings. Residing somewhere between abstraction and representation, the work incorporates bits of humor and social criticism, exploring how visual icons are interpreted—and invented—to shape beliefs in contemporary culture."
"AMERICAN","Solid aluminum and plastic, two units","Each 4 1/4 x 25 5/8 x 51 3/8"" (10.8 x 65.1 x 130.5 cm); overall 4 1/4 x 25 5/8 x 12' 3/4"" (10.8 x 65.1 x 367.7 cm)","Sculpture","Roni Horn","http://www.moma.org/collection/works/100279","Y","Thicket No. 2","2005-10-06","1990","Y","Painting & Sculpture","739.2005.a-b","(American, born 1955)","Gift of Edward R. Broida","100279","Throughout her career, Roni Horn has combined literature and art, turning her audience into what she calls ""reader/viewers."" ""I'm especially interested in those divergent experiences,"" Horn has said. ""That’s what I'm after. Similar things in different forms are completely different things.” Here, two slabs, each bearing the word ""tiger,"" are presented as sculptures to be read. Together they provide the first two words of William Blake's 1794 poem ""The Tiger."""
"BRITISH","Gelatin silver print","9 1/16 x 7 13/16"" (23 x 19.9 cm)","Photograph","Bill Brandt","http://www.moma.org/collection/works/104306","Y","Jean Arp","2006-10-12","1960","Y","Photography","630.2006","(British, born Germany. 1904–1983)","Gift of Edwynn Houk","104306","This closely cropped eye belongs to the artist Jean Arp. Brandt made ten photographs of notable visual artists; a few seem to have been taken at the same session as a published portrait, although none appear to be enlargements from other known works. They are striking departures from Brandt’s typical practice, mysterious despite their clarity of description, and they underscore the photographer’s experimental impulse, even late in his career. There is no record of their ever being published in a magazine."
"AMERICAN","Fabric collage, with hand additions","page: 11 3/4 x 13"" (29.8 x 33 cm)","Illustrated Book","Louise Bourgeois","http://www.moma.org/collection/works/126521","Y","Untitled, no. 11 of 34, from the illustrated book, Ode à l'oubli","2005-06-02","2002","Y","Prints & Illustrated Books","540.2005.12","(American, born France. 1911–2010)","Gift of the artist","126521","Bourgeois has made illustrated books, a format that she herself collects, since the late 1940s, incorporating her own texts and those of other authors. This editioned fabric volume is modeled after a unique book she made in 2002 using textiles she had saved throughout her life, including scraps of nightgowns, scarves, and hand towels from her wedding trousseau, monogrammed with her initials. Bourgeois spent her childhood around fabric—her family had a tapestry restoration business—and she has used the material for years in sculptures and as the support for prints and drawings."
